Condition,Feature,MRE,Frac_NonSig
Uncomplicated (n=18),FVIII,0.057,0.952
Uncomplicated (n=18),vWF,0.022,0.999
Uncomplicated (n=18),FIX,0.018,0.998
Uncomplicated (n=18),FV,0.006,0.996
Uncomplicated (n=18),α₂-AP,0.019,1.0
Uncomplicated (n=18),FVII,0.057,0.941
Uncomplicated (n=18),Fbgn,0.017,0.987
Uncomplicated (n=18),Plgn,0.02,0.988
PCOS (n=3),FVIII,0.109,0.985
PCOS (n=3),vWF,0.15,0.959
PCOS (n=3),FIX,0.121,0.873
PCOS (n=3),FV,0.057,0.944
PCOS (n=3),α₂-AP,0.051,0.987
PCOS (n=3),FVII,0.029,0.999
PCOS (n=3),Fbgn,0.043,0.992
PCOS (n=3),Plgn,0.153,0.615
Developed PE (n=5),FVIII,0.097,0.932
Developed PE (n=5),vWF,0.01,0.986
Developed PE (n=5),FIX,0.108,0.78
Developed PE (n=5),FV,0.006,0.987
Developed PE (n=5),α₂-AP,0.062,0.95
Developed PE (n=5),FVII,0.045,0.993
Developed PE (n=5),Fbgn,0.048,0.996
Developed PE (n=5),Plgn,0.093,0.814
