Feature,NegativeMeasurements,NegativePatients,MinSynthetic,MedianAbsNegative,MaxAbsNegative,RealMean,RealSD,RealMin,RealMax
II,0,0,63.32672766719422,NaN,NaN,102.63004038065839,15.480716031094515,68.7718000477131,142.107673649261
V,0,0,53.487604359119814,NaN,NaN,88.5475030442106,13.746234173975616,59.202341172789,133.333148184397
VII,0,0,50.582044491311024,NaN,NaN,125.5148280145237,41.77531553447567,61.1859984317522,247.93919855626
VIII,0,0,13.169078793053643,NaN,NaN,131.9260684219814,50.60162720199132,48.0823551964577,270.0
IX,0,0,59.87368570334149,NaN,NaN,123.13525150969532,29.2305184034902,53.29233270839905,196.685902075265
X,0,0,72.19739058773172,NaN,NaN,104.03863849554833,16.044076011691605,72.0170138125437,144.037596197287
AT,0,0,62.65253506639375,NaN,NaN,89.31688150937322,8.916034817854234,70.2608638841195,122.321033704156
PC,0,0,62.80507775883491,NaN,NaN,117.41666396928576,23.687630074808478,59.9241953446569,198.376961652686
Fbgn,0,0,183.50819445801795,NaN,NaN,345.47905479719094,83.34900156410092,204.119475773694,562.040746018121
Estradiol,20,19,-2109.7527888632735,134.69269775347075,2109.7527888632735,4379.7555555555555,5014.79421046202,29.0,15001.0
Progesterone,37,37,-75.77572878058957,0.2591878495658158,75.77572878058957,54.98744444444444,61.31327138925092,0.19,227.9
TF Initiator Peak (nM),0,0,199.29862889186285,NaN,NaN,338.6107777777778,71.5795576433801,200.37,549.05
TF Initiator ETP (nM·min),0,0,1058.6128610983112,NaN,NaN,2003.530777777778,424.3456081916285,1061.93,3018.05
TF Initiator Lagtime (min),0,0,1.9895485630390422,NaN,NaN,2.7282222222222225,0.4221629106116853,2.03,4.33
